Filename,Touches
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,3
README.md,2
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,1
build.gradle,1
changes.md,1
rootbeerlib/build.gradle,1
rootbeerlib/src/main/cpp/toolChecker.cpp,1
rootbeerlib/src/main/cpp/toolChecker.h,1
rootbeerlib/src/main/jni/Android.mk,1
rootbeerlib/src/main/jni/Application.mk,1
rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,1
rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,1
rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,1
